name,percentage_outliers,std_outliers,column_name,n_tuples,missing_perc,uniqueness,min,max,mean,median,std,skewness,kurtosis,mad,iqr,p_min,p_max,k_min,k_max,s_min,s_max,entropy,density
acustic,10,1,_HarmonicChangeDetectionFunction_Std,57.14285373687744, 0.0, 0.06930701121687889, -9.560930059844257, 68.56939224043488, 27.24055504875779, 27.039611339569092, 11.474755695956947, -0.027649557811021807, 0.401182425403595, 5.438344359397888, 10.898073330521584, 0.01138531483411789, 0.03609112710356713, 0.014072570341825484, 0.05864943773746491, 0.01916101868748665, 0.07584462550282478, 0.722631487584114, 0.0002001700758934021
acustic,10,1,_HarmonicChangeDetectionFunction_PeriodAmp,57.14285373687744, 0.0, 0.0803357121348381, 46.06421393979192, 159.85670572978853, 109.68867371333837, 112.29979404807091, 16.42764304597974, -0.11276111082434653, 0.4456597958922386, 7.272158175706863, 15.58247609436512, 0.005702056968212128, 0.03609112710356713, 0.016889064967632293, 0.05864943773746491, 0.024627720898389816, 0.07584462550282478, 0.7503206416130066, 0.00012991070747375488
acustic,10,1,_Zero-crossingrate_Mean,57.14285373687744, 0.0, 0.13968975245952606, -198.09271807025075, 665.6379030621946, 151.73978684495688, 126.87754045003652, 137.47824185482264, 0.19486500500440596, 0.5076848459601403, 55.5298860553503, 111.93555156202912, 0.0076015605330467225, 0.022532947432994842, 0.001869659698009491, 0.025770065557956696, 0.002845394730567932, 0.03663749054670334, 0.8515353094756604, 0.0
acustic,10,1,_Fluctuation_Mean,57.14285373687744, 0.0, 0.13612082779407503, -0.4365020848274231, 4.3165381860375405, 1.130017691040039, 0.9654682063758373, 0.758282680016756, 0.36881057157516484, 1.0476542194843292, 0.15590551736950875, 0.3146242442250252, 0.005094089835882187, 0.015774901759624482, 0.001935284698009491, 0.029770685720443727, 0.003043832230567932, 0.04261741325855255, 0.8465832106411457, 0.0
acustic,10,2,_HarmonicChangeDetectionFunction_Std,57.14285373687744, 0.0, 0.06840417981147766, -30.06796897034049, 88.59314338220358, 28.506316765844822, 27.32872325181961, 14.139169687855244, 0.12917452278733255, 0.9693169176518917, 5.2996514439582825, 10.152223289012909, 0.004637547034025192, 0.018078007590770724, 0.013226191514730454, 0.052419853293895716, 0.01865436752438545, 0.0684968078672886, 0.7225683802545071, 0.00019958494901657105
acustic,10,2,_HarmonicChangeDetectionFunction_PeriodAmp,57.14285373687744, 0.0, 0.08076346695423126, 14.591618260741233, 190.67182237121463, 108.41714099521042, 112.09975445270538, 24.419910660594702, -0.11677033860087395, 0.6690119358003139, 7.306780755519867, 16.1083744764328, 0.0005779887676239014, 0.018078007590770724, 0.015777401703596115, 0.052419853293895716, 0.023527492249011992, 0.0684968078672886, 0.7507190604507923, 0.0001267887592315674
acustic,10,2,_Zero-crossingrate_Mean,57.14285373687744, 0.0, 0.1395534834265709, -395.3872476045668, 884.7678507563293, 151.82137070922852, 126.39045635917782, 166.94465615230797, 0.22848386229872705, 1.029340320891142, 54.4876361105144, 111.99579025603532, 0.004661366146802902, 0.007101764851808547, 0.0018430949509143828, 0.019352757745981216, 0.0029615184843540194, 0.02742527866959572, 0.8513462696552276, 0.0
acustic,10,2,_Fluctuation_Mean,57.14285373687744, 0.0, 0.1366627724468708, -1.3946507507324217, 5.129697723209858, 1.1172133395493031, 0.9726574800312519, 0.8971571812093257, 0.2971197788834572, 1.0433636110246183, 0.1579716212451458, 0.317966394418478, 0.000494798457622528, 0.007556075239181519, 0.0018430949509143828, 0.02886615369319916, 0.0029615184843540194, 0.04160386063456535, 0.8473296280860901, 0.0
acustic,10,3,_HarmonicChangeDetectionFunction_Std,57.14285373687744, 0.0, 0.06965479478240014, -49.38558440495133, 108.79286281989216, 28.559304539316894, 27.510322630405426, 17.03815695325732, 0.07944407641887666, 1.123138284778595, 5.493014395236969, 10.803162813186646, 0.0016709076523780822, 0.00914352617263794, 0.011580146825313567, 0.05542005762457848, 0.016746529853343965, 0.07365722179412842, 0.7263132396936417, 0.0001998043417930603
acustic,10,3,_HarmonicChangeDetectionFunction_PeriodAmp,57.14285373687744, 0.0, 0.07779246538877488, -12.34690375291109, 217.71529846531152, 109.80735666813851, 112.36337649822235, 24.95657968366742, -0.1218026709318161, 1.3265392211675644, 6.971597075462341, 15.210794389247894, 0.006112297892570496, 0.009701686632633209, 0.01621590861082077, 0.05542005762457848, 0.024054033666849137, 0.07365722179412842, 0.7455691171169281, 0.0001392888069152832
